COD;DESC;COMP;LARG;PESO
40747;ISOPAINEL ZP 50 - 2500MM;2,5;1,15;2,875
40748;ISOPAINEL ZP 50 - 2600MM;2,6;1,15;2,99
40749;ISOPAINEL ZP 50 - 2700MM;2,7;1,15;3,105
40750;ISOPAINEL ZP 50 - 2800MM;2,8;1,15;3,22
40751;ISOPAINEL ZP 50 - 2900MM;2,9;1,15;3,335
40752;ISOPAINEL ZP 50 - 3000MM;3;1,15;3,45
40753;ISOPAINEL ZP 50 - 3100MM;3,1;1,15;3,565
40754;ISOPAINEL ZP 50 - 3200MM;3,2;1,15;3,68
40755;ISOPAINEL ZP 50 - 3300MM;3,3;1,15;3,795
40756;ISOPAINEL ZP 50 - 3400MM;3,4;1,15;3,91
40757;ISOPAINEL ZP 50 - 3500MM;3,5;1,15;4,025
40758;ISOPAINEL ZP 50 - 3600MM;3,6;1,15;4,14
40759;ISOPAINEL ZP 50 - 3700MM;3,7;1,15;4,255
40760;ISOPAINEL ZP 50 - 3800MM;3,8;1,15;4,37
40761;ISOPAINEL ZP 50 - 3900MM;3,9;1,15;4,485
40762;ISOPAINEL ZP 50 - 4000MM;4;1,15;4,6
40763;ISOPAINEL ZP 50 - 4100MM;4,1;1,15;4,715
40764;ISOPAINEL ZP 50 - 4200MM;4,2;1,15;4,83
40765;ISOPAINEL ZP 50 - 4300MM;4,3;1,15;4,945
40766;ISOPAINEL ZP 50 - 4400MM;4,4;1,15;5,06
40767;ISOPAINEL ZP 50 - 4500MM;4,5;1,15;5,175
40768;ISOPAINEL ZP 50 - 4600MM;4,6;1,15;5,29
40769;ISOPAINEL ZP 50 - 4700MM;4,7;1,15;5,405
40770;ISOPAINEL ZP 50 - 4800MM;4,8;1,15;5,52
40771;ISOPAINEL ZP 50 - 4900MM;4,9;1,15;5,635
40772;ISOPAINEL ZP 50 - 5000MM;5;1,15;5,75
40773;ISOPAINEL ZP 50 - 5100MM;5,1;1,15;5,865
40774;ISOPAINEL ZP 50 - 5200MM;5,2;1,15;5,98
40775;ISOPAINEL ZP 50 - 5300MM;5,3;1,15;6,095
40776;ISOPAINEL ZP 50 - 5400MM;5,4;1,15;6,21
40777;ISOPAINEL ZP 50 - 5500MM;5,5;1,15;6,325
40778;ISOPAINEL ZP 50 - 5600MM;5,6;1,15;6,44
40779;ISOPAINEL ZP 50 - 5700MM;5,7;1,15;6,555
40780;ISOPAINEL ZP 50 - 5800MM;5,8;1,15;6,67
40781;ISOPAINEL ZP 50 - 5900MM;5,9;1,15;6,785
40782;ISOPAINEL ZP 50 - 6000MM;6;1,15;6,9
